Date,Value
2019-01-01,272.4231163967541
2019-02-01,328.47971563054784
2019-03-01,445.4058061450164
2019-04-01,537.8822312217455
2019-05-01,600.6727769155469
2019-06-01,709.7348392501206
2019-07-01,776.3531581891476
2019-08-01,807.6799900385
2019-09-01,875.7114292174953
2019-10-01,903.2180116169325
2019-11-01,876.8596540419121
2019-12-01,1039.1733603156963
2020-01-01,735.4368261502407
2020-02-01,611.611998547379
2020-03-01,617.169117645503
2020-04-01,623.4559655538181
2020-05-01,649.5240672495781
2020-06-01,744.7941217888844
2020-07-01,807.8128346376536
2020-08-01,846.3946338038469
2020-09-01,939.6060225096102
2020-10-01,960.3384930248081
2020-11-01,941.1513163666662
2020-12-01,1125.0645658942967
2021-01-01,791.645268454195
2021-02-01,645.2599733118001
2021-03-01,667.8364124321052
2021-04-01,695.1787637679862
2021-05-01,734.4352616745638
2021-06-01,858.3753566028727
2021-07-01,913.7668208844567
2021-08-01,962.5373517061834
2021-09-01,1047.1800573795024
2021-10-01,1071.6175930128911
2021-11-01,1102.105076832646
2021-12-01,1344.000008703133
2022-01-01,935.1563108976187
2022-02-01,764.4897046261498
2022-03-01,795.9522070115975
2022-04-01,856.1093755019828
2022-05-01,879.2171484778642
2022-06-01,1009.7410799728349
2022-07-01,1083.5589720425512
2022-08-01,1152.0069257031291
2022-09-01,1225.285772368377
2022-10-01,1280.0145013438457
2022-11-01,1312.829972544909
2022-12-01,1602.4545756207172
2023-01-01,1132.2364971249226
2023-02-01,939.1248645655686
2023-03-01,951.2501526913392
2023-04-01,1000.4337087980234
2023-05-01,1058.7795531687955
2023-06-01,1195.5937276167888
2023-07-01,1277.072306824725
2023-08-01,1341.5181365126584
2023-09-01,1416.2073974193177
2023-10-01,1448.1161216468709
2023-11-01,1465.6067210507877
2023-12-01,1812.7967849579957
2024-01-01,1267.8083515556532
2024-02-01,1041.3318295527465
2024-03-01,1046.9800681156114
2024-04-01,1105.3024665256878
2024-05-01,1187.2823703818344
2024-06-01,1320.1503144879985
2024-07-01,1397.5543207955695
2024-08-01,1460.2391417596975
2024-09-01,1535.0189282426809
2024-10-01,1565.5563112077373
2024-11-01,1585.2012854670922
2024-12-01,2042.8486538566574
